Date,Order_dir,Quantity,Price
29/10/2020,BUY,1,1187.2
30/10/2020,BUY,1,1183.55
03/11/2020,SELL,1,1247.95
04/11/2020,SELL,1,1257.4
03/12/2020,BUY,1,1377.2
04/12/2020,BUY,1,1385.6
07/12/2020,BUY,1,1372.25
08/12/2020,BUY,1,1376.3
10/12/2020,BUY,1,1385.85
11/12/2020,BUY,1,1382.8
14/12/2020,BUY,1,1372.15
16/12/2020,SELL,1,1410.7
17/12/2020,SELL,1,1441.8
18/12/2020,SELL,1,1411.35
22/12/2020,BUY,1,1373.1
23/12/2020,BUY,1,1375.65
29/12/2020,SELL,1,1427.2
30/12/2020,SELL,1,1432.5
31/12/2020,SELL,1,1436.3
01/01/2021,SELL,1,1425.05
07/01/2021,BUY,1,1416.25
11/01/2021,SELL,1,1451.45
12/01/2021,SELL,1,1481
13/01/2021,SELL,1,1470.65
22/01/2021,BUY,1,1443.55
27/01/2021,BUY,1,1409.6
28/01/2021,BUY,1,1371.45
29/01/2021,BUY,1,1390.5
02/02/2021,SELL,1,1560.55
03/02/2021,SELL,1,1574.8
04/02/2021,SELL,1,1579.1
05/02/2021,SELL,1,1597.6
12/02/2021,BUY,1,1581.95
16/02/2021,SELL,1,1626.65
17/02/2021,BUY,1,1586.5
18/02/2021,BUY,1,1554.3
19/02/2021,BUY,1,1539.1
22/02/2021,BUY,1,1548
23/02/2021,BUY,1,1529.15
24/02/2021,SELL,1,1606.45
25/02/2021,SELL,1,1606.4
26/02/2021,BUY,1,1534.4
03/03/2021,SELL,1,1586.85
05/03/2021,BUY,1,1530
08/03/2021,BUY,1,1519.5
12/03/2021,SELL,1,1551.95
15/03/2021,BUY,1,1528.65
16/03/2021,BUY,1,1512.15
17/03/2021,BUY,1,1495.35
18/03/2021,BUY,1,1491
19/03/2021,BUY,1,1497.5
22/03/2021,BUY,1,1469.15
26/03/2021,SELL,1,1491.3
30/03/2021,SELL,1,1553.7
01/04/2021,BUY,1,1486.75
05/04/2021,BUY,1,1449.6
22/04/2021,SELL,1,1422.5
26/04/2021,BUY,1,1404.8
27/04/2021,SELL,1,1438.7
28/04/2021,SELL,1,1476.8
29/04/2021,SELL,1,1472.5
30/04/2021,BUY,1,1412.3
03/05/2021,BUY,1,1414.45
04/05/2021,BUY,1,1388.35
17/05/2021,SELL,1,1440.25
18/05/2021,SELL,1,1476.7
19/05/2021,SELL,1,1458.2
21/05/2021,SELL,1,1497.3
24/05/2021,SELL,1,1509.95
31/05/2021,SELL,1,1515.85
02/06/2021,BUY,1,1504
04/06/2021,BUY,1,1500.95
08/06/2021,BUY,1,1483.05
09/06/2021,BUY,1,1480.3
10/06/2021,BUY,1,1481.05
11/06/2021,BUY,1,1486.35
18/06/2021,SELL,1,1479.8
21/06/2021,SELL,1,1488.7
22/06/2021,SELL,1,1483.8
23/06/2021,SELL,1,1485.5
24/06/2021,SELL,1,1506.25
25/06/2021,SELL,1,1515.1
28/06/2021,SELL,1,1508.35
29/06/2021,SELL,1,1502.05
01/07/2021,BUY,1,1486.75
02/07/2021,BUY,1,1480.4
05/07/2021,BUY,1,1495.45
06/07/2021,SELL,1,1534.7
07/07/2021,SELL,1,1539.5
08/07/2021,SELL,1,1520.45
12/07/2021,BUY,1,1487
14/07/2021,BUY,1,1499.15
15/07/2021,SELL,1,1520.7
16/07/2021,SELL,1,1522.35
19/07/2021,BUY,1,1471
20/07/2021,BUY,1,1443.15
22/07/2021,BUY,1,1448.7
23/07/2021,BUY,1,1442.75
26/07/2021,BUY,1,1434.55
27/07/2021,BUY,1,1439.75
28/07/2021,BUY,1,1417.3
29/07/2021,BUY,1,1418.25
04/08/2021,SELL,1,1465.3
05/08/2021,SELL,1,1484.85
06/08/2021,SELL,1,1492.65
09/08/2021,SELL,1,1503.9
10/08/2021,SELL,1,1507.65
11/08/2021,SELL,1,1494.95
12/08/2021,SELL,1,1501.4
13/08/2021,SELL,1,1526.2
16/08/2021,SELL,1,1530.6
17/08/2021,SELL,1,1514.65
06/09/2021,BUY,1,1565.7
07/09/2021,BUY,1,1569.25
09/09/2021,BUY,1,1568.6
13/09/2021,BUY,1,1555.55
14/09/2021,BUY,1,1548.55
15/09/2021,BUY,1,1546.8
16/09/2021,BUY,1,1559.95
21/09/2021,BUY,1,1551.95
22/09/2021,BUY,1,1533.7
24/09/2021,SELL,1,1601.55
27/09/2021,SELL,1,1625.1
28/09/2021,SELL,1,1615.05
04/10/2021,BUY,1,1585.75
06/10/2021,SELL,1,1614.9
11/10/2021,SELL,1,1633.8
13/10/2021,SELL,1,1639.4
14/10/2021,SELL,1,1687.4
18/10/2021,SELL,1,1670.3
19/10/2021,SELL,1,1688.7
25/10/2021,BUY,1,1657
26/10/2021,BUY,1,1652.75
27/10/2021,BUY,1,1642.8
28/10/2021,BUY,1,1593.6
29/10/2021,BUY,1,1582.85
01/11/2021,BUY,1,1605.3
02/11/2021,BUY,1,1606.75
03/11/2021,BUY,1,1581.45
04/11/2021,BUY,1,1593.95
02/12/2021,SELL,1,1525.75
03/12/2021,SELL,1,1513.55
06/12/2021,SELL,1,1503.8
07/12/2021,SELL,1,1525.7
08/12/2021,SELL,1,1553.8
10/12/2021,BUY,1,1522.55
13/12/2021,BUY,1,1511.15
14/12/2021,BUY,1,1502.45
15/12/2021,BUY,1,1500
16/12/2021,BUY,1,1500.1
30/12/2021,SELL,1,1461.5
31/12/2021,SELL,1,1479.4
03/01/2022,SELL,1,1519.65
04/01/2022,SELL,1,1528.55
05/01/2022,SELL,1,1564.85
06/01/2022,SELL,1,1539.75
07/01/2022,SELL,1,1550.55
10/01/2022,SELL,1,1559.15
11/01/2022,SELL,1,1565.9
13/01/2022,BUY,1,1528
14/01/2022,BUY,1,1545.15
17/01/2022,BUY,1,1521.5
18/01/2022,BUY,1,1529.25
19/01/2022,BUY,1,1518.45
20/01/2022,BUY,1,1509
24/01/2022,BUY,1,1486.65
25/01/2022,BUY,1,1488.05
27/01/2022,BUY,1,1474.95
02/02/2022,SELL,1,1531.2
04/02/2022,SELL,1,1524
07/02/2022,BUY,1,1468.15
08/02/2022,BUY,1,1461.85
10/02/2022,SELL,1,1525.1
11/02/2022,SELL,1,1518.85
15/02/2022,SELL,1,1517.8
16/02/2022,SELL,1,1515.75
17/02/2022,SELL,1,1506.5
18/02/2022,SELL,1,1512.35
21/02/2022,SELL,1,1522.1
22/02/2022,SELL,1,1510.7
23/02/2022,SELL,1,1500.9
24/02/2022,BUY,1,1419.4
25/02/2022,BUY,1,1456.1
28/02/2022,BUY,1,1426.25
02/03/2022,BUY,1,1374.25
03/03/2022,BUY,1,1371
04/03/2022,BUY,1,1366.5
07/03/2022,BUY,1,1324.8
08/03/2022,BUY,1,1327.8
14/03/2022,SELL,1,1442.55
15/03/2022,SELL,1,1424
16/03/2022,SELL,1,1448.15
17/03/2022,SELL,1,1480.05
21/03/2022,SELL,1,1486.5
22/03/2022,SELL,1,1494.15
23/03/2022,SELL,1,1479.25
25/03/2022,BUY,1,1430.9
28/03/2022,BUY,1,1432.8
30/03/2022,SELL,1,1476.95
01/04/2022,SELL,1,1506
04/04/2022,SELL,1,1656.8
05/04/2022,SELL,1,1608.25
11/04/2022,BUY,1,1496.15
12/04/2022,BUY,1,1493.5
13/04/2022,BUY,1,1464.95
18/04/2022,BUY,1,1395.45
19/04/2022,BUY,1,1342.2
20/04/2022,BUY,1,1354.3
21/04/2022,BUY,1,1374.35
22/04/2022,BUY,1,1355.6
25/04/2022,BUY,1,1365.75
29/04/2022,SELL,1,1384.6
02/05/2022,SELL,1,1403.7
06/05/2022,BUY,1,1317.6
09/05/2022,BUY,1,1319.85
12/05/2022,BUY,1,1303.05
20/05/2022,SELL,1,1320.95
23/05/2022,BUY,1,1304
24/05/2022,SELL,1,1318.95
25/05/2022,SELL,1,1328.8
26/05/2022,SELL,1,1366.7
27/05/2022,SELL,1,1392.05
30/05/2022,SELL,1,1401.55
31/05/2022,SELL,1,1388.95
01/06/2022,SELL,1,1394.85
02/06/2022,SELL,1,1385.1
03/06/2022,SELL,1,1380.3
07/06/2022,BUY,1,1362.6
08/06/2022,BUY,1,1367.4
10/06/2022,BUY,1,1351.1
13/06/2022,BUY,1,1326.6
14/06/2022,BUY,1,1312
15/06/2022,BUY,1,1307.45
16/06/2022,BUY,1,1281.3
17/06/2022,BUY,1,1289.75
23/06/2022,SELL,1,1335.15
24/06/2022,SELL,1,1353.8
27/06/2022,SELL,1,1356.25
04/07/2022,BUY,1,1355.65
05/07/2022,BUY,1,1352.6
06/07/2022,SELL,1,1371.25
07/07/2022,SELL,1,1395.8
08/07/2022,SELL,1,1397.1
11/07/2022,SELL,1,1406.15
12/07/2022,SELL,1,1391.8
13/07/2022,BUY,1,1357.85
14/07/2022,BUY,1,1351.05
15/07/2022,BUY,1,1362.05
18/07/2022,BUY,1,1347.55
19/07/2022,BUY,1,1348.05
20/07/2022,BUY,1,1365.05
21/07/2022,BUY,1,1360.75
25/07/2022,SELL,1,1396.6
26/07/2022,SELL,1,1393.75
27/07/2022,SELL,1,1404.4
28/07/2022,SELL,1,1416.85
29/07/2022,SELL,1,1434.2
01/08/2022,SELL,1,1446.15
04/08/2022,SELL,1,1431.9
08/08/2022,SELL,1,1462.05
10/08/2022,SELL,1,1466.3
11/08/2022,SELL,1,1485.7
23/08/2022,BUY,1,1465.8
24/08/2022,BUY,1,1472.85
25/08/2022,BUY,1,1464.85
26/08/2022,BUY,1,1465.1
29/08/2022,BUY,1,1439.4
01/09/2022,BUY,1,1472.15
05/09/2022,SELL,1,1495.05
06/09/2022,SELL,1,1489.35
08/09/2022,SELL,1,1497.6
12/09/2022,BUY,1,1493.55
13/09/2022,SELL,1,1513.1
14/09/2022,SELL,1,1528.65
16/09/2022,BUY,1,1492.75
19/09/2022,BUY,1,1502.6
22/09/2022,BUY,1,1486
23/09/2022,BUY,1,1446.15
26/09/2022,BUY,1,1426.65
27/09/2022,BUY,1,1413.85
28/09/2022,BUY,1,1389.55
29/09/2022,BUY,1,1382.35
04/10/2022,SELL,1,1453
07/10/2022,SELL,1,1430.8
11/10/2022,BUY,1,1400.65
12/10/2022,BUY,1,1409.8
14/10/2022,SELL,1,1439
17/10/2022,SELL,1,1446.55
18/10/2022,BUY,1,1443.85
19/10/2022,SELL,1,1458.65
21/10/2022,BUY,1,1438.6
25/10/2022,BUY,1,1450.9
31/10/2022,SELL,1,1496.7
01/11/2022,SELL,1,1513.25
02/11/2022,SELL,1,1514.2
03/11/2022,SELL,1,1507.55
09/11/2022,BUY,1,1508.35
11/11/2022,SELL,1,1611.15
14/11/2022,SELL,1,1615.05
15/11/2022,SELL,1,1619
16/11/2022,SELL,1,1632.9
17/11/2022,SELL,1,1618.15
18/11/2022,SELL,1,1613.9
28/11/2022,BUY,1,1600.25
29/11/2022,BUY,1,1597.85
01/12/2022,SELL,1,1619.5
05/12/2022,BUY,1,1612.95
08/12/2022,SELL,1,1619.5
09/12/2022,SELL,1,1631.05
12/12/2022,SELL,1,1643.75
22/12/2022,BUY,1,1612.05
23/12/2022,BUY,1,1597.65
30/12/2022,BUY,1,1628.15
02/01/2023,BUY,1,1628.7
04/01/2023,BUY,1,1610.05
05/01/2023,BUY,1,1599.7
06/01/2023,BUY,1,1594.4
09/01/2023,BUY,1,1597.5
10/01/2023,BUY,1,1568.3
11/01/2023,BUY,1,1590.9
17/01/2023,SELL,1,1608.9
18/01/2023,SELL,1,1637.3
19/01/2023,SELL,1,1644.1
20/01/2023,SELL,1,1660.95
23/01/2023,SELL,1,1673.1
