,DATE,HIGH,LOW,PREV. CLOSE,CLOSE,OPEN,VWAP,NO OF TRADES
197,15/10/2018,265.7,261.1,263.75,263.2,264.4,262.91,137105
198,16/10/2018,270.85,263.35,263.2,270.3,264.6,267.89,158126
199,17/10/2018,275.0,260.0,270.3,261.15,273.75,266.57,173764
200,19/10/2018,264.2,258.1,261.15,261.1,259.7,260.66,198786
201,22/10/2018,266.0,259.45,261.1,260.35,266.0,263.03,139531
202,23/10/2018,259.0,255.0,260.35,255.65,258.0,256.83,129664
203,24/10/2018,261.8,252.8,255.65,255.7,260.25,257.4,128911
204,25/10/2018,255.0,248.4,255.7,249.55,254.5,250.37,206019
205,26/10/2018,252.5,247.4,249.55,248.1,252.0,250.07,126405
206,29/10/2018,269.25,248.4,248.1,267.9,250.0,262.11,235624
207,30/10/2018,279.1,266.0,267.9,273.15,267.5,274.64,241590
208,31/10/2018,282.75,268.6,273.15,281.4,275.0,275.87,196431
209,01/11/2018,289.0,278.85,281.4,285.9,283.0,285.01,191818
210,02/11/2018,292.8,283.2,285.9,285.35,287.9,288.62,176838
211,05/11/2018,300.0,283.5,285.35,294.95,286.45,292.0,274735
212,06/11/2018,298.3,283.9,294.95,286.45,296.1,289.58,255219
213,07/11/2018,288.9,285.95,286.45,286.55,288.9,286.71,31229
214,09/11/2018,287.5,282.45,286.55,283.25,287.0,284.58,152877
215,12/11/2018,283.7,276.85,283.25,277.95,283.7,279.74,122013
216,13/11/2018,279.7,273.35,277.95,278.05,276.3,276.23,121432
217,14/11/2018,287.7,278.0,278.05,283.6,280.4,282.5,194345
218,15/11/2018,287.05,281.15,283.6,285.4,283.85,284.37,128213
219,16/11/2018,291.8,282.6,285.4,290.9,285.9,287.94,163592
220,19/11/2018,293.5,286.05,290.9,288.15,293.5,288.82,96893
221,20/11/2018,288.55,282.5,288.15,283.45,285.9,285.14,92016
222,21/11/2018,289.55,283.05,283.45,287.05,283.45,286.74,116591
223,22/11/2018,287.05,281.6,287.05,282.7,285.95,284.33,100389
224,26/11/2018,287.25,279.6,282.7,286.4,284.1,283.47,140976
225,27/11/2018,290.5,284.05,286.4,289.4,284.6,287.89,145650
226,28/11/2018,292.45,283.0,289.4,284.55,289.4,288.74,150289
227,29/11/2018,289.65,284.25,284.55,286.4,289.3,287.09,130270
228,30/11/2018,290.9,283.2,286.4,284.65,288.8,286.52,112488
229,03/12/2018,287.9,283.25,284.65,286.8,286.7,285.68,88152
230,04/12/2018,287.95,281.9,286.8,282.55,287.95,284.69,86407
231,05/12/2018,283.2,277.05,282.55,280.15,282.45,281.13,101310
232,06/12/2018,279.25,275.1,280.15,275.65,278.0,276.5,78787
233,07/12/2018,277.35,272.1,275.65,275.4,277.0,274.83,84832
234,10/12/2018,276.4,270.15,275.4,274.2,271.0,273.76,95048
235,11/12/2018,283.25,268.35,274.2,281.25,268.35,277.93,159532
236,12/12/2018,285.85,282.2,281.25,285.25,283.75,284.28,140224
237,13/12/2018,294.0,285.75,285.25,289.0,290.0,290.37,169352
238,14/12/2018,290.8,287.05,289.0,289.2,288.5,288.88,99288
239,17/12/2018,291.45,287.3,289.2,289.5,289.3,289.32,78521
240,18/12/2018,294.0,287.0,289.5,292.75,287.85,290.48,109081
241,19/12/2018,302.0,294.7,292.75,300.7,294.7,299.22,197180
242,20/12/2018,301.65,293.15,300.7,294.05,298.35,297.78,136911
243,21/12/2018,296.5,290.8,294.05,291.9,293.65,293.22,110956
244,24/12/2018,295.0,290.15,291.9,293.05,293.5,292.6,91297
245,26/12/2018,295.0,287.15,293.05,294.15,292.85,290.87,80935
246,27/12/2018,297.6,291.5,294.15,292.15,296.7,294.03,92770
247,28/12/2018,297.1,293.55,292.15,294.8,293.6,295.43,85894
248,31/12/2018,298.25,295.5,294.8,295.9,297.2,296.5,81758
249,01/01/2019,300.7,293.85,295.9,299.6,297.5,296.77,69723
